철도운영기관명,선명,역명,경도,위도
코레일,분당,한티,127.052873,37.496237
코레일,분당,구룡,127.058856,37.486839
코레일,분당,야탑,127.128715,37.411185
코레일,분당,구성,127.105664,37.298969
코레일,분당,개포동,127.06614,37.489116
코레일,분당,대모산입구,127.07272,37.491373
코레일,분당,정자,127.108105,37.36706
코레일,분당,기흥(백남준아트센터),127.115936,37.275619
코레일,분당,서울숲,127.044707,37.543617
코레일,분당,압구정로데오,127.040534,37.527381
코레일,분당,강남구청,127.04128,37.517186
코레일,분당,가천대,127.126697,37.448605
코레일,분당,태평,127.127709,37.440019
코레일,분당,서현,127.123592,37.385126
코레일,분당,수내(한국잡월드),127.114322,37.378455
코레일,분당,미금(분당서울대병원),127.10891,37.350077
코레일,분당,오리,127.108942,37.339824
코레일,분당,죽전(단국대),127.107395,37.324753
코레일,분당,보정,127.108196,37.312752
코레일,분당,신갈,127.111313,37.286102
코레일,분당,상갈(루터대학교),127.108847,37.26181
코레일,분당,청명,127.078934,37.259489
코레일,분당,영통(경희대),127.071394,37.251568
코레일,분당,망포,127.057353,37.245795
코레일,분당,매탄권선,127.040566,37.252759
코레일,분당,수원시청(경기도문화의전당),127.030736,37.261911
코레일,분당,매교,127.015678,37.265481
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
